key,es,en,zh,jp
PLAY,Jugar,Play,开始,プレイ
TUTORIAL_FINISHED,¡TUTORIAL FINALIZADO!,TUTORIAL COMPLETED!,完整教程！,チュートリアル終了！
INFLATION,inflacion.png,inflation.png,通货膨胀.png,インフレーション 
PANCHA_MISSION,"Ahora estas listo para 
ayudar a pancha a enfrentar
 la inflacion","Now you are ready to help 
pancha face inflation","现在您已准备好提供帮助
Pancha 面临通货膨胀",これで、パンチャがインフレに直面するのを支援する準備が整いました。
DAY,Dia,Day,日,日
RENT,Renta,Rent,租,家賃
SKIP,SALTAR,SKIP,跳过,スキップ
BUY,COMPRAR,BUY,购买,買う
NEXT_DAY,Siguiente Dia,Next Day,次日,翌日
BANKRUPTCY,"!HAS CAIDO 
EN BANCARROTA!","YOU HAVE FALLEN IN
BANKRUPTCY!","你已经陷入了
破产！",パンチャは落ちました倒産！
TOP_PLAYERS,Top Mejores Jugadores,Top Players,最佳球员,最優秀選手表
RANK,Posicion,Rank,行列,ランク
TOP_PLAYER_NAME,Nombre,Name,姓名,名前
YOUR_NAME,Escribe tu nombre,Write your name,写你的名字,お名前を書いてください。
RETRY,Reintentar,Retry,再玩一次,再プレイ
CHEST,Cofre,Chest,箱子,箱
CHEST_DESC,Permite almacenar minerales mas valiosos y crear nuevas recetas,Allows you to store more valuable minerals and create new recipes,允许您储存更多有价值的矿物质并创造新的配方,より貴重なミネラルを保管し、新しいレシピを作成できるようになります
MANY_UPGRADES,Muchas Mejoras,Many Upgrades,许多升级,さらなる改善
MANY_UPGRADES_DESC,¿No son suficientes mejoras? Agrega una más al finalizar el dia,Aren't these upgrades enough? Add one more at the end of the day,这些升级还不够吗？ 在一天结束时再添加一个,改善は足りませんか？日が終わるともう一つ追加されます！
ZEN_CLIENTS,Clientes Zen,Zen Clients,禅宗客户,禅の顧客
ZEN_CLIENTS_DESC,Gracias a la meditación los clientes esperarán más tiempo,Thanks to meditation clients will wait longer,感谢冥想，客户等待的时间更长,瞑想のおかげで、お客様はより長くお待ちいただけます。
MORE_TIME,Mas tiempo,More Time,更多时间,もっと時間
MORE_TIME_DESC,Tu tienda  estará abierta mas horas,Your gem shop will be open more hours,您的商店将延长营业时间,パンチャの店はより長い時間営業します。
